sex,Rings
I,7
I,8
I,6
I,4
I,2
I,3
M,13
M,15
M,15
M,11
F,17
M,10
F,12
M,13
F,15
M,11
M,13
M,15
M,13
M,18
M,10
M,12
F,12
M,14
M,10
M,14
F,8
F,14
F,17
M,20
F,17
F,17
M,9
M,14
M,15
F,13
M,10
F,13
F,13
M,20
M,13
M,20
F,15
M,13
M,15
M,15
F,16
F,17
M,14
F,14
M,11
F,13
M,9
F,11
F,17
F,11
I,8
M,8
M,9
M,10
M,11
M,15
M,13
M,15
F,15
M,13
M,12
M,10
I,6
I,5
M,15
F,9
M,12
F,9
F,12
F,10
F,10
M,9
M,12
M,12
M,15
M,11
M,9
M,11
F,11
M,10
M,10
M,9
I,7
M,10
M,7
I,6
F,15
F,10
F,12
M,12
F,21
I,6
I,5
I,7
I,7
I,6
I,6
I,6
I,7
I,7
I,6
I,7
I,6
I,7
I,7
I,6
I,6
I,6
I,7
M,6
I,6
I,9
I,7
I,7
I,8
M,8
I,9
F,8
I,9
M,8
F,9
M,9
M,8
M,8
M,9
F,11
F,10
F,8
M,10
F,10
M,9
M,10
M,9
M,10
F,9
M,9
M,12
F,10
F,8
F,6
F,12
M,11
F,10
M,11
F,10
M,9
F,12
F,10
M,9
M,12
F,11
M,9
F,11
F,11
M,14
M,9
F,10
F,9
F,8
M,11
M,9
M,17
M,15
M,10
F,10
F,12
F,9
F,11
F,11
F,11
M,17
I,6
I,5
I,3
I,6
I,4
I,6
I,4
I,5
I,4
I,6
I,5
I,6
I,8
I,5
I,6
I,6
I,7
I,7
I,5
I,7
I,7
I,6
I,7
I,6
I,6
I,7
I,7
I,6
I,6
I,5
I,6
I,6
I,6
I,7
I,7
I,8
I,6
I,6
I,7
F,6
I,7
I,7
I,8
I,7
I,7
I,7
I,6
I,7
I,7
I,7
I,7
I,7
F,6
M,8
F,8
M,9
F,6
M,6
M,6
M,8
M,7
F,7
M,8
M,8
M,7
M,6
I,8
M,7
M,7
F,9
I,8
M,9
I,8
M,8
I,7
I,7
M,8
M,8
F,8
M,7
F,8
M,11
F,8
F,8
M,7
F,8
M,8
M,8
F,9
F,9
F,9
F,8
M,10
M,10
F,8
M,8
M,7
M,9
F,9
F,7
F,8
M,10
F,8
M,9
M,11
M,8
F,8
F,11
F,11
M,9
F,9
M,9
F,9
M,9
M,11
M,11
M,10
F,8
F,11
F,10
M,10
F,10
F,9
F,9
M,8
F,11
M,8
M,11
M,10
M,10
F,11
F,10
F,10
M,11
M,8
F,8
M,11
F,10
F,10
M,9
M,11
M,10
F,9
F,10
F,11
M,9
M,10
F,6
M,11
F,10
F,12
M,12
M,8
M,10
F,10
F,12
M,11
M,10
F,11
F,11
M,12
I,4
I,3
I,4
I,4
I,4
I,4
I,5
I,7
I,6
I,5
I,5
I,6
I,6
I,6
I,5
I,6
I,6
I,6
I,7
I,6
I,7
I,7
I,6
I,7
I,7
I,6
I,7
M,7
I,6
I,7
I,7
I,7
I,7
I,8
I,8
I,6
I,7
I,6
I,6
I,7
M,7
I,6
I,6
I,7
I,8
M,7
I,7
I,9
I,8
M,6
F,7
I,8
F,6
I,9
I,8
I,8
M,9
I,8
I,8
F,7
I,8
I,9
M,9
I,8
I,8
I,9
I,10
M,7
M,9
M,9
F,8
F,8
M,10
M,9
M,8
F,8
M,8
M,9
M,8
F,9
M,9
F,8
I,8
F,7
F,10
M,9
F,9
M,9
I,10
M,9
M,9
M,8
M,9
M,9
M,9
M,8
F,9
M,9
M,7
M,8
F,9
M,8
F,8
M,10
F,9
M,9
M,10
F,9
M,8
M,9
M,9
M,10
F,9
F,9
M,8
M,8
F,8
F,9
M,8
M,8
M,10
F,9
M,10
M,10
F,10
F,9
M,11
M,11
F,10
F,11
M,8
I,9
F,9
F,14
M,10
F,9
M,12
F,9
M,10
M,9
M,12
F,9
F,9
F,11
M,12
M,10
F,10
F,10
M,8
M,12
F,12
M,11
M,11
F,11
F,11
M,10
F,11
I,6
I,4
I,5
I,5
I,6
I,5
I,5
I,5
I,5
I,6
I,7
I,5
I,7
I,6
I,6
I,5
I,6
I,8
I,4
I,6
I,7
I,7
I,7
I,6
I,5
I,7
I,6
I,6
I,8
I,7
I,6
I,8
I,9
I,8
I,7
I,5
I,7
I,8
I,8
I,5
I,5
I,6
I,7
I,6
I,7
I,7
I,7
I,8
I,8
I,7
I,9
I,9
I,8
F,8
I,8
I,7
I,9
F,8
I,11
I,8
I,8
I,8
I,8
I,8
I,8
I,9
I,8
I,8
I,8
I,7
M,8
I,9
M,9
I,9
I,9
I,7
I,9
I,8
I,7
I,8
I,7
I,13
I,9
I,10
I,9
I,9
M,9
I,9
I,10
I,9
I,9
I,9
I,8
F,9
M,9
F,10
I,9
I,8
F,9
I,10
I,8
I,11
F,9
M,9
I,10
I,9
M,9
I,10
I,9
I,9
I,9
I,9
F,10
I,9
I,11
F,8
M,8
M,11
I,10
I,8
F,9
M,10
I,10
M,9
F,10
F,9
M,10
M,10
M,10
F,8
M,9
M,10
I,10
M,10
M,10
M,10
M,8
I,9
M,9
M,10
F,10
F,12
M,10
M,11
I,10
F,11
F,10
M,11
I,11
M,10
I,11
F,9
F,12
M,10
M,12
M,10
I,9
M,10
M,10
F,10
M,10
M,10
F,12
M,10
M,9
F,10
M,10
M,12
F,10
F,10
M,9
F,11
F,9
F,12
F,9
I,11
M,12
I,10
M,12
M,10
F,9
F,9
M,10
M,10
M,15
M,10
M,11
M,10
M,11
F,11
F,11
M,11
M,9
F,10
F,10
M,13
F,10
M,10
F,10
F,10
F,10
F,11
F,10
M,13
M,9
F,11
F,12
M,10
M,11
F,12
F,11
F,13
M,12
F,11
F,11
F,12
F,9
F,14
F,14
I,3
I,4
I,7
I,5
I,6
I,7
I,5
I,5
I,6
I,7
I,8
I,7
I,6
I,5
M,9
I,6
I,6
I,5
M,8
I,9
M,6
I,7
I,8
I,9
I,6
I,6
M,8
I,7
F,7
I,7
I,6
M,8
M,6
F,7
M,9
F,9
I,8
M,8
I,7
M,8
M,8
I,9
M,8
F,9
F,8
M,9
F,8
F,9
M,8
M,9
M,8
F,9
F,9
M,8
M,8
F,9
F,8
F,9
M,8
M,9
F,11
F,9
F,9
F,11
I,8
M,10
F,8
M,9
M,10
M,11
M,9
F,10
M,9
M,11
F,10
F,10
M,8
F,9
F,10
M,11
F,11
F,10
M,10
F,9
M,8
F,11
M,11
M,10
F,10
M,11
M,10
M,10
F,12
M,11
M,12
F,11
M,11
M,10
M,12
M,13
M,10
M,11
I,5
I,5
I,6
I,6
I,6
I,5
I,5
I,6
I,7
I,8
I,7
I,7
I,7
I,6
I,7
I,7
I,6
I,8
I,7
I,8
I,7
I,7
I,7
I,8
I,8
I,7
I,8
I,7
I,7
I,6
I,8
I,7
I,10
I,7
I,7
I,9
I,8
I,8
I,8
M,7
I,8
I,9
I,8
M,8
I,7
I,8
I,8
I,8
I,8
I,8
I,8
I,9
I,7
F,6
I,9
I,10
I,8
I,8
I,9
I,7
M,8
I,9
I,8
I,7
M,9
I,7
I,10
I,9
I,11
I,7
I,9
I,9
I,9
M,10
I,9
I,10
I,8
I,9
I,8
I,8
M,10
I,9
I,12
I,8
I,8
I,9
I,8
I,11
I,10
I,8
M,10
I,9
F,9
M,9
M,10
F,8
M,9
I,9
I,10
I,9
I,12
M,8
I,10
F,10
I,9
M,10
F,8
I,9
I,10
F,8
M,9
M,13
F,8
M,10
M,10
I,9
F,10
M,10
I,10
I,11
F,8
M,10
M,10
I,8
F,8
F,9
M,9
I,8
F,10
M,9
M,10
F,9
M,8
I,9
F,8
F,9
F,11
M,10
F,10
F,12
M,9
F,10
I,9
M,9
F,7
M,10
M,9
I,12
F,12
M,13
F,11
I,11
F,12
I,9
I,10
M,12
F,9
M,11
M,10
M,9
I,12
F,10
I,9
M,9
F,8
M,11
M,10
M,11
I,13
M,12
F,10
F,9
F,10
M,10
M,11
M,10
M,12
M,14
M,9
M,10
M,9
F,9
M,10
F,10
M,9
F,12
F,9
M,11
M,11
M,9
M,10
F,9
F,12
F,11
M,9
F,12
M,10
M,14
M,11
M,11
F,11
M,12
M,9
M,12
M,11
F,13
F,10
F,11
M,13
F,10
M,10
F,11
M,11
F,11
F,12
M,10
F,15
F,11
M,11
F,12
F,10
M,11
M,10
M,13
F,7
F,14
F,11
M,11
F,12
F,11
M,12
M,12
M,12
I,5
I,6
F,7
M,7
I,8
M,7
I,6
I,8
I,8
I,10
M,7
I,8
M,9
I,9
F,8
M,9
M,9
M,8
M,10
M,7
M,8
F,8
I,8
I,8
F,10
F,9
F,10
M,10
M,9
M,10
I,10
F,10
M,10
I,8
M,11
M,9
M,9
M,10
F,11
F,10
M,10
M,9
M,11
M,11
F,10
F,8
M,9
M,11
M,10
F,9
M,10
F,11
F,10
F,9
F,10
M,11
F,13
F,9
M,11
M,11
I,5
I,4
I,7
I,6
I,7
I,6
I,7
I,6
I,8
I,6
I,7
I,7
I,6
I,6
I,8
I,11
I,8
I,7
I,7
I,8
I,7
I,8
I,7
I,8
I,9
I,7
I,8
I,9
I,8
I,8
I,8
I,9
I,11
I,8
F,10
I,10
I,10
M,8
I,8
I,9
I,9
I,7
I,10
I,9
I,8
I,9
I,8
I,9
I,9
I,9
I,9
F,9
I,9
I,8
I,10
I,9
I,10
I,6
M,8
M,8
M,7
I,9
M,9
I,9
F,11
M,7
M,11
I,9
M,9
I,10
M,11
M,11
M,9
M,13
F,9
M,9
M,9
M,10
M,11
M,10
F,9
I,10
I,11
F,9
M,9
F,9
F,10
M,10
I,10
M,9
M,10
F,11
M,11
M,10
F,11
I,10
F,9
M,10
M,8
F,10
F,8
F,11
M,11
M,9
F,12
M,10
M,11
M,9
F,11
M,15
M,9
M,12
M,11
M,9
M,10
F,11
F,11
F,11
M,9
F,11
F,11
F,11
M,12
M,12
M,10
M,11
F,10
F,10
I,10
M,9
F,11
F,12
M,11
F,16
I,10
F,13
F,10
F,11
F,10
M,9
F,10
M,11
F,10
M,12
M,12
F,12
M,11
F,11
M,12
M,10
M,10
M,11
M,13
F,13
M,12
M,13
F,10
F,12
M,11
F,11
F,11
M,13
I,4
I,4
I,5
I,6
I,7
I,6
I,5
I,6
I,6
I,6
I,7
I,6
I,7
I,6
I,9
I,6
I,7
I,6
I,7
I,7
I,7
I,8
I,7
I,8
I,7
M,8
I,7
M,10
I,10
I,8
M,9
M,12
M,10
I,9
M,9
M,9
F,9
F,9
M,11
F,10
F,9
M,9
F,10
M,9
M,10
F,10
M,12
M,10
F,14
M,9
I,5
I,5
I,5
I,6
I,8
I,8
I,8
I,7
F,7
I,8
I,7
I,6
I,9
I,8
M,8
F,8
M,8
M,7
M,7
I,9
F,7
I,8
M,8
I,8
M,9
F,8
M,7
M,8
M,8
F,8
F,10
F,9
F,9
M,9
I,11
F,9
M,8
F,7
F,11
M,9
F,10
F,8
M,8
F,9
M,9
M,8
F,10
M,11
F,12
F,10
F,10
M,11
F,12
F,10
M,17
F,8
M,10
F,11
I,7
M,7
M,11
M,7
M,8
F,10
I,10
M,19
I,9
M,9
F,11
M,10
M,14
F,15
M,27
M,13
I,5
I,9
M,8
I,7
I,4
I,3
I,6
F,7
F,8
I,9
M,7
I,9
F,11
F,6
M,7
M,8
F,10
I,7
M,12
M,12
M,9
M,6
F,10
M,9
F,8
M,12
F,9
F,10
F,16
M,14
F,10
I,7
I,9
M,10
M,9
F,9
M,11
M,12
M,8
M,7
M,10
F,18
F,8
I,5
M,10
M,16
M,12
M,17
M,14
F,12
M,19
F,17
F,11
F,9
M,5
F,9
I,6
F,5
M,6
I,4
M,7
I,6
I,5
M,10
F,13
M,12
F,20
F,14
F,15
F,14
F,21
M,16
M,13
M,6
I,6
M,9
F,9
M,14
M,12
F,10
M,11
M,15
F,14
I,6
I,13
I,5
I,11
I,10
I,6
F,21
F,13
F,25
M,19
M,18
M,7
I,6
F,5
M,8
F,16
F,27
M,18
M,17
F,13
M,17
F,8
F,10
I,7
F,13
M,14
F,13
F,8
M,17
F,13
F,14
F,9
M,13
I,7
I,7
F,12
M,7
M,13
F,9
F,9
M,17
F,14
M,13
F,15
M,17
I,8
F,8
M,12
F,11
F,7
M,10
I,11
M,9
F,10
F,9
M,6
F,12
M,11
M,13
F,14
F,11
M,14
M,12
M,8
M,13
M,8
F,13
M,10
M,11
F,17
F,13
I,14
F,13
F,14
F,15
F,13
M,12
F,18
F,14
M,15
F,13
M,15
M,20
F,14
F,19
M,9
M,10
M,9
I,8
F,10
I,7
I,9
I,9
F,9
F,7
I,6
F,10
I,6
M,10
F,9
I,6
M,12
F,10
F,13
M,8
I,7
I,8
F,10
F,10
M,9
F,11
M,11
F,23
F,12
F,16
M,11
M,13
F,13
M,7
I,8
M,16
F,14
M,17
M,13
M,13
F,12
F,15
I,10
M,14
M,12
I,8
F,17
F,10
M,11
M,13
F,15
I,15
I,9
M,15
F,9
M,13
F,23
M,23
F,18
M,11
M,17
M,17
F,11
I,7
I,6
I,6
M,21
F,17
F,13
M,11
M,16
F,9
F,12
M,19
M,18
F,17
M,11
M,13
M,13
M,17
F,20
F,13
F,11
M,12
F,18
M,18
F,15
F,12
M,19
M,15
F,16
I,12
I,8
M,3
F,12
F,12
I,12
M,10
F,8
I,12
I,12
F,10
M,5
M,5
I,11
F,16
F,11
F,12
F,14
I,11
I,10
M,11
F,16
M,10
M,10
I,7
I,14
I,14
I,14
I,17
I,14
F,17
I,13
F,12
I,16
M,10
I,15
I,15
F,10
I,12
I,15
F,8
F,10
I,9
M,7
F,12
I,9
M,10
M,18
M,11
F,18
F,10
M,13
I,15
F,12
F,10
M,6
I,13
I,14
M,6
F,10
M,9
I,11
F,18
F,11
F,16
I,16
F,14
M,23
I,9
F,16
F,9
M,13
M,10
M,9
F,11
M,9
M,12
F,14
I,6
F,7
F,9
F,10
M,10
M,9
I,8
I,5
I,6
I,5
I,5
I,4
F,20
M,14
F,13
M,8
M,17
F,11
M,11
M,9
M,16
F,8
M,13
M,11
M,20
M,14
F,14
M,14
F,12
M,18
M,13
F,8
F,14
F,13
M,8
M,12
F,14
M,14
I,8
F,13
F,11
M,14
M,15
M,7
F,10
F,11
I,8
M,9
M,12
F,15
M,12
M,15
M,19
F,12
F,9
I,5
I,6
I,6
I,6
I,7
I,7
I,6
I,6
I,8
I,6
M,8
F,8
I,8
F,8
I,10
M,7
M,8
I,7
M,9
M,9
M,11
F,9
M,11
M,9
M,9
M,10
F,9
F,8
F,9
M,10
F,10
M,10
M,12
F,11
F,12
I,11
M,15
F,13
F,13
F,9
F,14
F,10
F,10
I,4
I,4
I,5
I,4
I,5
I,5
I,6
I,6
I,7
I,7
I,6
I,6
I,7
I,6
I,7
I,7
I,6
I,6
I,7
I,6
I,8
F,7
F,6
I,7
I,6
I,7
M,9
I,7
I,8
M,8
M,7
I,7
I,7
M,9
M,7
M,8
F,6
M,6
F,8
M,9
F,8
F,7
F,9
F,8
M,7
F,8
F,8
M,7
F,9
F,9
F,11
F,8
F,8
M,9
M,8
F,10
F,10
M,8
F,9
F,10
F,9
M,10
F,9
F,8
F,11
F,9
M,8
F,11
F,11
M,9
M,12
F,9
M,9
F,13
M,8
F,10
M,12
F,13
F,10
M,12
M,10
I,4
I,5
I,5
I,6
I,6
I,6
I,8
I,6
I,7
I,7
I,7
I,7
I,7
I,6
I,7
I,7
I,7
I,8
I,8
M,8
I,7
I,8
M,9
M,7
I,8
I,8
I,9
I,9
F,9
M,7
M,7
F,9
I,8
F,8
I,8
M,9
F,9
M,9
F,9
F,8
M,8
F,7
F,8
M,8
M,9
F,8
F,8
M,9
M,9
M,10
F,10
F,9
M,7
F,9
M,10
M,9
M,10
M,11
F,9
M,10
M,11
M,10
M,8
M,9
M,9
F,9
M,9
M,9
F,10
M,9
F,9
M,10
F,9
M,11
M,13
F,13
M,11
M,11
M,10
M,13
F,11
M,9
M,11
F,12
M,11
I,3
I,4
I,4
I,5
I,6
I,6
I,6
I,7
I,5
I,7
I,8
I,7
I,7
I,8
I,8
I,7
I,7
I,8
I,7
I,6
I,8
I,8
I,7
I,8
I,8
I,7
I,9
M,8
I,7
I,8
I,8
I,8
I,7
M,11
I,8
I,8
I,10
I,9
I,9
I,8
F,9
M,7
I,8
I,8
F,10
I,8
I,9
M,10
F,8
I,10
I,10
I,9
I,10
I,9
I,11
F,8
I,10
I,11
I,11
F,10
F,9
M,10
F,11
F,9
I,10
M,10
I,9
F,8
M,9
M,10
M,10
M,8
M,11
M,9
M,9
M,10
F,11
F,10
F,9
F,10
M,10
M,10
M,12
F,10
M,12
M,10
M,11
M,10
M,10
F,11
M,10
M,9
M,12
F,9
F,11
F,9
M,13
F,9
M,11
M,10
M,9
I,5
I,4
I,4
I,7
I,6
I,7
I,8
I,5
I,6
I,7
I,7
I,7
I,7
I,8
M,9
I,8
M,9
I,7
F,9
M,7
F,9
F,9
F,8
M,8
M,9
F,8
M,9
F,10
M,9
M,9
M,9
M,10
M,10
F,10
M,10
M,8
F,9
M,10
M,10
F,12
F,9
F,8
F,11
F,11
F,11
M,11
M,11
F,11
F,10
F,12
M,10
M,11
I,6
I,4
I,5
I,6
I,7
I,5
I,7
I,7
I,8
I,6
I,8
I,7
I,7
I,9
F,8
I,8
I,8
I,8
I,9
I,8
I,9
I,8
M,8
I,9
I,8
I,8
M,8
I,8
M,10
F,8
I,11
I,10
I,8
I,10
I,8
I,8
F,9
I,8
I,9
F,8
I,9
M,8
M,8
M,10
F,9
F,9
M,11
F,11
I,9
M,9
I,9
I,10
M,10
M,10
I,9
F,10
M,10
F,9
M,11
F,13
M,9
I,10
I,11
F,12
M,11
I,11
F,11
F,9
M,10
F,10
F,9
M,10
M,11
M,10
F,11
F,10
M,10
F,10
M,9
F,10
M,7
F,11
M,11
M,10
F,8
M,11
M,11
M,11
F,12
F,11
M,12
M,15
F,12
F,11
F,12
F,13
F,10
F,10
I,9
F,12
M,9
M,9
M,10
M,11
F,12
M,10
M,13
M,11
M,13
M,12
M,12
I,6
I,8
I,6
M,8
M,8
I,7
F,8
F,9
F,8
F,10
I,8
M,13
M,10
M,9
M,9
F,9
M,8
I,8
F,11
M,9
M,9
F,10
F,9
F,9
F,11
M,9
M,11
M,10
F,10
F,11
M,13
M,11
M,14
F,12
I,4
I,6
I,8
I,7
I,8
I,6
I,6
I,7
I,8
I,9
I,8
I,8
I,9
I,8
I,8
I,9
I,7
I,8
I,8
I,7
I,11
I,11
I,8
I,9
M,8
M,10
I,10
I,11
M,9
I,9
M,10
F,10
M,9
I,8
M,10
I,9
F,10
M,11
M,9
I,8
M,9
M,12
M,9
F,9
F,11
M,12
F,11
M,11
M,13
I,11
F,11
M,11
M,10
F,11
F,9
M,9
F,11
F,9
M,11
M,12
M,11
F,9
F,11
F,10
M,10
M,11
F,11
F,11
M,10
F,11
F,11
M,13
F,14
F,11
I,4
I,5
I,6
I,7
I,7
I,8
M,8
M,10
M,10
M,11
F,11
M,9
M,9
F,9
M,11
F,8
M,9
M,10
M,11
M,8
M,11
M,10
I,5
I,5
I,5
I,7
I,7
I,8
I,8
I,7
I,7
I,7
I,6
M,10
F,8
M,8
F,10
F,9
F,7
M,8
M,9
F,10
M,10
M,11
F,9
F,10
F,10
M,11
M,11
F,10
F,9
M,8
M,9
M,11
M,10
M,10
I,11
M,20
I,5
I,5
I,4
F,9
M,13
M,14
F,13
F,12
F,24
F,10
F,21
F,11
M,9
M,7
M,9
M,10
F,9
M,9
F,6
I,7
F,6
M,15
F,9
F,13
F,9
F,18
M,15
M,15
M,10
F,14
M,13
F,11
M,6
M,9
I,11
F,12
F,15
M,8
I,8
F,7
M,11
M,10
M,11
F,13
F,11
F,6
F,8
M,16
M,7
I,5
M,13
F,14
M,20
F,12
F,18
I,5
I,7
M,11
F,9
F,10
F,6
F,17
F,17
F,15
M,9
I,8
I,15
I,9
I,14
M,12
F,10
F,14
F,13
F,14
F,11
M,16
M,10
F,14
M,16
M,11
M,9
M,18
M,8
M,16
I,9
F,10
F,13
I,9
F,12
M,11
M,12
M,13
F,12
F,13
M,14
I,8
M,18
M,14
F,15
M,15
M,14
M,15
F,14
F,19
F,13
M,13
F,15
M,11
M,6
F,9
I,8
M,12
I,6
F,7
I,5
F,12
M,9
M,7
M,18
F,13
F,12
F,14
M,17
F,12
M,14
F,11
F,10
M,11
F,12
F,13
M,17
M,11
F,13
F,18
M,12
M,12
F,15
M,12
F,18
M,24
M,11
F,13
F,11
M,11
F,13
F,14
M,12
F,15
M,15
F,12
M,9
F,11
M,13
F,14
M,14
F,14
M,17
F,13
M,16
F,16
F,11
F,15
F,12
F,16
I,16
I,10
F,9
M,5
I,9
F,13
F,12
F,17
M,11
I,11
M,9
M,16
M,7
M,4
F,19
F,16
I,11
F,15
F,12
I,12
M,10
I,12
I,16
I,13
F,10
F,10
F,11
I,13
I,12
I,8
F,12
F,11
I,15
F,16
F,12
I,17
F,12
M,14
F,13
I,13
F,12
I,14
M,11
I,13
I,10
I,11
F,13
F,15
I,8
F,10
I,10
I,6
I,8
M,5
I,20
F,19
M,9
M,9
I,10
M,11
I,11
M,5
I,17
I,13
I,17
M,12
M,10
I,16
M,19
F,10
F,10
I,6
I,5
M,8
I,8
I,5
M,19
M,15
M,14
F,7
F,13
M,13
M,18
M,13
M,16
M,10
M,13
M,19
M,10
M,13
F,13
M,18
F,12
M,9
F,8
M,10
M,18
M,13
I,9
M,8
I,7
I,8
I,6
I,7
I,7
I,6
I,7
I,8
M,9
F,7
F,9
M,7
M,9
F,8
M,8
F,10
M,11
M,9
F,11
M,10
F,10
M,13
M,13
I,4
I,6
I,6
I,5
I,6
I,6
I,6
I,7
I,6
I,8
I,6
I,8
I,7
F,7
M,8
I,7
F,9
I,8
I,8
F,8
M,7
M,7
F,7
M,8
F,8
F,8
F,8
M,9
F,12
F,10
F,8
M,8
M,9
F,11
F,10
M,11
M,10
F,9
M,9
M,10
F,11
F,10
M,11
F,9
I,3
I,4
I,6
I,6
I,7
I,6
I,7
I,7
I,8
I,6
I,7
I,7
I,8
I,7
F,8
I,8
I,8
F,8
M,10
M,8
M,8
M,8
F,9
M,8
