Sex,Length,Whole weight,Rings
"M",0.63,1.259,13
"M",0.655,1.844,22
"F",0.66,1.3485,12
"M",0.61,1.642,18
"M",0.635,1.484,20
"F",0.515,0.712,11
"F",0.535,0.8415,15
"I",0.36,0.2415,7
"F",0.455,0.4495,9
"M",0.485,0.6295,14
"M",0.515,0.9565,14
"F",0.535,0.879,10
"M",0.53,0.699,10
"F",0.495,0.6445,17
"M",0.44,0.4775,9
"F",0.535,0.8105,10
"M",0.54,0.996,17
"F",0.565,1.2765,12
"M",0.61,1.116,15
"F",0.565,1.013,19
"M",0.6,1.0575,26
"I",0.295,0.128,6
"I",0.275,0.1105,6
"I",0.28,0.1065,4
"M",0.49,0.549,11
"M",0.37,0.234,9
"F",0.405,0.3485,9
"F",0.54,0.892,13
"M",0.37,0.252,8
"M",0.36,0.217,6
"F",0.47,0.472,10
"I",0.2,0.037,4
"I",0.165,0.0215,3
"M",0.645,1.5415,13
"M",0.55,0.7605,14
"M",0.57,0.9055,10
"F",0.63,1.2435,21
"M",0.56,0.971,14
"M",0.595,1.3305,19
"F",0.62,1.2255,23
"M",0.63,1.3,23
"I",0.45,0.4585,8
"F",0.635,1.242,14
"M",0.45,0.3675,10
"F",0.58,0.8365,18
"I",0.33,0.172,6
"I",0.265,0.0965,5
"I",0.19,0.038,4
"M",0.385,0.2845,11
"I",0.265,0.1055,5
"M",0.335,0.222,7
"I",0.355,0.251,7
"I",0.32,0.1755,7
"M",0.51,0.6435,12
"M",0.36,0.241,8
"I",0.36,0.2255,8
"M",0.5,0.5955,12
"F",0.4,0.3185,8
"I",0.3,0.121,5
"I",0.235,0.0705,5
"F",0.74,1.974,16
"M",0.62,1.3415,11
"M",0.6,1.0875,14
"M",0.59,1.283,16
"M",0.62,1.325,13
"F",0.565,1.0035,15
"M",0.575,1.165,14
"F",0.62,1.3475,14
"M",0.62,1.274,12
"F",0.505,0.568,12
"F",0.46,0.746,8
"M",0.49,0.707,13
"F",0.525,0.756,9
"I",0.34,0.2,6
"I",0.375,0.2715,8
"M",0.61,1.2,14
"F",0.61,1.153,8
"F",0.585,0.8685,22
"M",0.57,0.9535,12
"M",0.58,0.93,9
"M",0.635,1.275,16
"M",0.7,2.13,20
"M",0.675,1.587,13
"F",0.645,1.8085,18
"M",0.745,2.499,17
"F",0.685,1.768,16
"M",0.605,1.227,18
"F",0.59,0.997,12
"F",0.65,1.4225,20
"F",0.6,1.029,16
"F",0.62,1.186,12
"M",0.63,1.016,19
"M",0.58,0.887,11
"F",0.58,1.0735,10
"M",0.63,1.13,12
"F",0.69,1.719,17
"F",0.65,1.566,16
"F",0.66,1.7605,16
"F",0.68,1.787,19
"F",0.7,1.31,14
"M",0.685,1.343,13
"F",0.675,1.7345,20
"M",0.63,1.1775,11
"F",0.585,1.077,10
"M",0.565,0.995,15
"F",0.61,1.1085,12
"M",0.605,1.1405,15
"M",0.535,0.791,10
"M",0.485,0.663,10
"M",0.47,0.5565,12
"M",0.545,0.8445,10
"F",0.455,0.4925,9
"M",0.54,0.7385,12
"M",0.46,0.482,10
"M",0.49,0.609,14
"I",0.465,0.471,9
"I",0.415,0.3215,10
"M",0.475,0.593,10
"F",0.47,0.5615,10
"I",0.365,0.25,9
"I",0.345,0.1995,6
"I",0.39,0.302,11
"F",0.5,0.7155,10
"M",0.47,0.5865,8
"M",0.535,0.6765,12
"M",0.585,0.987,11
"F",0.485,0.5885,9
"M",0.515,0.7225,9
"F",0.435,0.4335,7
"F",0.515,0.6935,10
"I",0.44,0.365,7
"F",0.525,0.8425,12
"M",0.45,0.479,8
"M",0.59,0.911,16
"M",0.555,0.915,11
"M",0.57,0.827,8
"M",0.59,1.1045,15
"M",0.585,0.945,14
"F",0.58,0.9935,11
"M",0.545,0.8565,12
"F",0.605,1.2385,14
"F",0.62,1.0325,15
"F",0.63,1.3135,20
"M",0.63,1.352,20
"F",0.63,1.005,16
"M",0.545,0.625,13
"F",0.67,1.5015,14
"I",0.49,0.529,11
"F",0.49,0.5785,13
"I",0.29,0.101,8
"I",0.26,0.092,6
"M",0.58,1.068,13
"F",0.61,1.0915,18
"M",0.6,1.015,19
"F",0.56,0.943,21
"F",0.575,1.0475,18
"F",0.57,0.9555,18
"M",0.6,1.036,20
"M",0.565,0.9065,18
"M",0.545,0.7505,22
"I",0.44,0.366,13
"M",0.5,0.662,11
"I",0.36,0.217,7
"I",0.385,0.252,14
"M",0.39,0.3055,9
"M",0.5,0.6885,13
"I",0.36,0.2335,10
"I",0.335,0.192,8
"F",0.505,0.85,19
"I",0.395,0.2715,10
"F",0.41,0.3635,10
"F",0.56,0.714,9
"M",0.565,0.9815,13
"M",0.565,0.9265,16
"M",0.605,1.098,12
"F",0.565,0.8205,18
"M",0.725,1.891,16
"F",0.675,1.41,16
"F",0.665,1.4385,17
"F",0.565,0.9245,11
"F",0.645,1.2915,14
"M",0.575,0.8375,11
"F",0.64,1.221,15
"I",0.36,0.199,9
"I",0.415,0.2965,10
"F",0.525,0.7085,11
"M",0.38,0.2665,11
"F",0.585,0.9915,12
"I",0.24,0.0715,6
"I",0.22,0.0545,5
"I",0.255,0.0735,6
"I",0.175,0.0235,5
"F",0.67,1.3905,12
"M",0.655,1.388,13
"F",0.68,1.7445,17
"M",0.675,1.4385,21
"F",0.53,0.7835,9
"F",0.515,0.646,10
"I",0.43,0.3575,9
"F",0.52,0.627,11
"F",0.545,0.7715,10
"M",0.53,0.7395,17
"F",0.465,0.421,9
"M",0.665,1.347,17
"M",0.735,1.756,21
"M",0.66,1.32,16
"F",0.7,1.8075,29
"M",0.575,0.9325,17
"M",0.57,0.849,15
"F",0.58,0.9955,19
"M",0.63,1.0115,12
"F",0.585,0.908,13
"M",0.55,0.92,11
"F",0.625,1.2415,15
"M",0.54,0.8075,11
"F",0.57,1.0595,14
"M",0.59,1.073,14
"M",0.58,0.921,13
"F",0.655,1.2895,11
"M",0.655,1.2635,15
"M",0.625,1.369,17
"F",0.625,0.953,15
"F",0.64,1.248,12
"F",0.605,1.0105,19
"F",0.615,1.0385,11
"M",0.555,0.874,10
"F",0.58,0.854,12
"F",0.62,1.1835,23
"F",0.62,1.115,15
"F",0.6,1.129,13
"F",0.625,1.1745,17
"M",0.6,1.105,15
"M",0.56,0.8395,12
"M",0.585,1.055,15
"M",0.56,0.889,11
"I",0.56,0.8735,16
"I",0.68,1.1095,10
"F",0.455,0.5185,10
"F",0.49,0.6725,10
"M",0.31,0.146,6
"F",0.275,0.08,5
"M",0.27,0.1,6
"M",0.4,0.2795,9
"M",0.28,0.0915,5
"M",0.325,0.147,4
"F",0.345,0.203,6
"M",0.21,0.0385,3
"F",0.36,0.1885,5
"I",0.365,0.218,9
"M",0.2,0.035,5
"M",0.235,0.0545,4
"M",0.175,0.024,4
"M",0.155,0.0155,3
"F",0.57,0.733,14
"F",0.57,0.9715,12
"M",0.385,0.24,9
"I",0.53,0.752,20
"F",0.46,0.458,13
"I",0.47,0.4705,12
"F",0.435,0.38,9
"I",0.47,0.4985,10
"I",0.465,0.454,11
"I",0.52,0.5775,11
"M",0.29,0.1165,7
"M",0.275,0.094,5
"F",0.375,0.2705,10
"F",0.5,0.604,15
"F",0.44,0.415,11
"M",0.42,0.2885,15
"M",0.445,0.3615,8
"F",0.38,0.257,10
"M",0.32,0.1555,11
"M",0.255,0.08,8
"M",0.205,0.0425,7
"F",0.565,0.795,12
"I",0.555,0.875,11
"I",0.65,1.1625,17
"I",0.615,0.9885,13
"I",0.56,0.8,12
"I",0.48,0.514,13
"I",0.485,0.591,9
"I",0.5,0.6265,10
"I",0.525,0.795,14
"F",0.66,1.1905,12
"F",0.66,1.326,13
"I",0.52,0.66,13
"F",0.44,0.364,8
"I",0.515,0.659,13
"F",0.475,0.452,11
"F",0.545,0.7335,11
"F",0.47,0.5465,14
"M",0.35,0.179,10
"I",0.485,0.581,12
"I",0.435,0.406,12
"M",0.28,0.1085,7
"F",0.41,0.387,11
"I",0.45,0.474,16
"I",0.45,0.443,14
"F",0.59,1.066,20
"F",0.57,0.9535,17
"I",0.61,0.9665,10
"F",0.61,1.133,11
"I",0.56,0.9175,10
"F",0.585,0.982,10
"I",0.58,0.8865,11
"F",0.63,1.3675,17
"F",0.625,1.233,11
"I",0.55,0.806,14
"F",0.645,1.4635,19
"I",0.46,0.4935,13
"F",0.41,0.363,11
"I",0.495,0.6655,11
"I",0.52,0.6805,10
"F",0.55,0.8285,13
"M",0.45,0.4625,14
"F",0.405,0.3095,13
"I",0.51,0.745,13
"F",0.37,0.25,9
"I",0.525,0.874,18
"F",0.66,1.514,19
"M",0.535,0.6995,12
"I",0.575,0.8525,13
"F",0.55,0.7135,9
"I",0.605,0.939,13
"I",0.605,1.054,12
"F",0.56,0.981,16
"I",0.535,0.926,17
"F",0.385,0.286,10
"F",0.39,0.265,13
"I",0.47,0.4885,11
"I",0.515,0.5555,12
"I",0.425,0.425,13
"M",0.345,0.195,9
"I",0.485,0.458,10
"M",0.37,0.228,10
"M",0.35,0.1775,12
"F",0.44,0.4085,12
"M",0.195,0.032,4
"M",0.325,0.155,9
"I",0.495,0.4775,18
"I",0.45,0.525,15
"M",0.415,0.3865,13
"F",0.47,0.433,12
"M",0.32,0.17,7
"M",0.31,0.1295,9
"M",0.235,0.0515,7
"M",0.345,0.169,10
"I",0.485,0.673,18
"F",0.5,0.6785,12
"F",0.5,0.498,17
"I",0.465,0.498,15
"F",0.525,0.658,12
"F",0.425,0.322,10
"F",0.38,0.2815,8
"I",0.53,0.944,21
"M",0.34,0.1835,10
"I",0.475,0.49,9
"F",0.43,0.391,7
"M",0.46,0.467,10
"I",0.47,0.5225,9
"M",0.36,0.2105,9
"M",0.355,0.168,8
"M",0.38,0.258,7
"M",0.355,0.1905,6
"I",0.44,0.487,14
"F",0.51,0.5735,13
"M",0.325,0.173,7
"I",0.62,1.1785,13
"F",0.59,0.9,19
"M",0.33,0.1875,7
"M",0.45,0.3715,9
"I",0.445,0.347,11
"M",0.33,0.1145,6
"M",0.48,0.777,9
"I",0.46,0.4885,11
"F",0.475,0.447,9
"M",0.255,0.079,5
"I",0.335,0.1665,6
"I",0.47,0.466,11
"M",0.31,0.1345,7
"F",0.37,0.2305,10
"M",0.295,0.129,7
"F",0.555,0.97,17
"F",0.615,1.14,16
"I",0.58,1.3165,18
"F",0.585,0.9585,11
"I",0.65,1.626,18
"I",0.535,0.781,11
"F",0.415,0.3675,10
"F",0.38,0.281,12
"I",0.45,0.412,19
"F",0.395,0.2245,10
"M",0.455,0.4835,11
"F",0.485,0.605,15
"M",0.55,0.9175,13
"F",0.45,0.5425,13
"M",0.475,0.6175,14
"F",0.5,0.655,17
"F",0.53,0.8115,19
"M",0.49,0.573,21
"F",0.49,0.7865,23
"F",0.52,0.64,22
"M",0.54,0.74,12
"F",0.5,0.5945,11
"F",0.45,0.8165,23
"F",0.37,0.2225,8
"I",0.37,0.2295,7
"M",0.485,0.5725,10
"F",0.435,0.3915,7
"M",0.535,0.8345,16
"M",0.51,0.6515,10
"M",0.565,0.909,15
"F",0.535,0.8045,13
"F",0.535,0.927,16
"M",0.525,0.7305,11
"M",0.59,0.9555,11
"M",0.5,0.636,10
"I",0.255,0.0865,5
"F",0.43,0.3865,11
"M",0.38,0.283,9
"I",0.165,0.019,4
"I",0.315,0.1285,7
"I",0.155,0.0175,4
"M",0.28,0.1165,5
"F",0.43,0.444,13
"F",0.395,0.3515,16
"M",0.385,0.2905,12
"F",0.48,0.536,14
"F",0.445,0.4525,9
"M",0.395,0.316,12
"M",0.4,0.417,9
"M",0.415,0.417,10
"M",0.315,0.203,11
"F",0.345,0.207,10
"M",0.36,0.2765,10
"I",0.295,0.1105,7
"I",0.325,0.176,7
"M",0.375,0.2465,11
"I",0.28,0.1135,7
"M",0.355,0.201,8
"M",0.35,0.1915,9
"I",0.275,0.1035,7
"I",0.29,0.0975,8
"I",0.25,0.0765,6
"I",0.18,0.0265,4
"I",0.15,0.015,2
"I",0.16,0.018,3
"M",0.555,1.0575,13
"M",0.555,1.092,15
"M",0.525,0.99,15
"M",0.465,0.488,11
"F",0.49,0.5005,17
"M",0.4,0.297,10
"F",0.48,0.525,12
"M",0.505,0.77,13
"F",0.52,0.6515,15
"M",0.525,0.8295,11
"M",0.545,0.879,13
"M",0.52,0.823,15
"M",0.505,0.656,13
"M",0.525,0.8665,18
"M",0.51,0.6565,10
"M",0.52,0.669,12
"F",0.52,0.6435,12
"M",0.535,0.862,14
"M",0.445,0.3795,10
"M",0.53,0.835,14
"F",0.36,0.2065,8
"F",0.535,0.7365,14
"F",0.52,0.8175,17
"M",0.53,0.8425,20
"F",0.53,1.001,17
"F",0.66,1.676,17
"M",0.52,0.6595,9
"M",0.535,0.8055,14
"M",0.695,1.5165,15
"F",0.51,0.612,13
"M",0.485,0.547,10
"F",0.605,1.122,13
"F",0.58,1.1365,13
"M",0.65,1.4805,20
"M",0.62,1.5275,13
"M",0.615,1.1375,20
"F",0.605,1.437,15
"M",0.57,1.116,13
"M",0.57,1.0615,15
"M",0.585,1.2565,15
"F",0.55,0.946,16
"F",0.54,0.959,17
"M",0.64,1.613,14
"F",0.61,1.153,14
"M",0.545,0.978,11
"F",0.59,1.1325,13
"M",0.345,0.197,9
"F",0.55,0.785,11
"F",0.53,0.949,17
"F",0.53,0.9805,11
"I",0.485,0.521,8
"M",0.385,0.2685,8
"M",0.455,0.462,9
"M",0.49,0.7605,10
"M",0.53,0.732,11
"M",0.505,0.6775,15
"M",0.49,0.6385,13
"M",0.465,0.5755,15
"F",0.47,0.537,15
"M",0.56,0.93,13
"M",0.505,0.6415,12
"M",0.515,0.8815,10
"I",0.385,0.244,6
"I",0.215,0.0525,5
"M",0.55,1.042,15
"F",0.515,0.5755,9
"M",0.495,0.709,12
"F",0.505,0.644,9
"F",0.6,0.8875,12
"F",0.57,0.8935,10
"F",0.485,0.556,10
"M",0.47,0.51,9
"M",0.575,0.9215,12
"M",0.58,1.0345,12
"M",0.515,0.695,15
"M",0.53,0.7155,11
"M",0.44,0.394,9
"M",0.52,0.745,11
"F",0.425,0.3665,11
"M",0.46,0.495,10
"M",0.45,0.349,10
"M",0.425,0.4405,9
"I",0.37,0.22,7
"M",0.515,0.6615,10
"M",0.405,0.3185,7
"I",0.28,0.1015,6
"F",0.48,0.759,15
"F",0.44,0.4195,10
"F",0.52,0.807,12
"M",0.505,0.875,12
"F",0.49,0.6835,21
"I",0.235,0.067,6
"I",0.255,0.088,5
"I",0.315,0.1715,7
"I",0.325,0.1735,7
"I",0.335,0.183,6
"I",0.35,0.2055,6
"I",0.35,0.18,6
"I",0.36,0.27,7
"I",0.365,0.24,7
"I",0.37,0.2215,6
"I",0.38,0.1375,7
"I",0.385,0.312,6
"I",0.385,0.2895,7
"I",0.395,0.319,7
"I",0.395,0.304,6
"I",0.4,0.306,6
"I",0.41,0.394,6
"I",0.415,0.3735,7
"M",0.415,0.325,6
"I",0.425,0.398,6
"I",0.44,0.501,9
"I",0.445,0.4895,7
"I",0.445,0.378,7
"I",0.45,0.547,8
"M",0.47,0.5805,8
"I",0.475,0.5465,9
"F",0.48,0.6395,8
"I",0.485,0.498,9
"M",0.49,0.609,8
"F",0.495,0.7555,9
"M",0.5,0.5975,9
"M",0.505,0.8275,8
"M",0.525,0.7635,8
"M",0.54,0.891,9
"F",0.54,0.805,11
"F",0.545,0.9185,10
"F",0.55,0.923,8
"M",0.55,1.0145,10
"F",0.55,0.875,10
"M",0.555,0.9685,9
"M",0.565,1.0595,10
"M",0.57,0.952,9
"M",0.57,0.7535,10
"F",0.575,0.958,9
"M",0.59,1.077,9
"M",0.59,1.102,12
"F",0.595,1.11,10
"F",0.595,1.2095,8
"F",0.595,1.1405,6
"F",0.595,1.113,12
"M",0.6,1.3445,11
"F",0.6,1.21,10
"M",0.6,1.29,11
"F",0.605,1.382,10
"M",0.605,1.1035,9
"F",0.615,1.377,12
"F",0.615,1.3435,10
"M",0.615,1.296,9
"M",0.615,1.34,12
"F",0.62,1.3725,11
"M",0.62,1.307,9
"F",0.625,1.2085,11
"F",0.625,1.3825,11
"M",0.63,1.26,14
"M",0.635,1.3555,9
"F",0.635,1.376,10
"F",0.635,1.2945,9
"F",0.64,1.486,8
"M",0.65,1.4715,11
"M",0.655,1.4095,9
"M",0.655,2.0805,17
"M",0.66,1.3905,15
"M",0.66,1.558,10
"F",0.67,1.309,10
"F",0.675,1.8095,12
"F",0.675,1.4785,9
"F",0.68,1.7775,11
"F",0.685,1.6675,11
"F",0.695,1.834,11
"M",0.73,2.8255,17
"I",0.205,0.046,6
"I",0.24,0.0705,5
"I",0.24,0.0665,3
"I",0.255,0.083,6
"I",0.255,0.083,4
"I",0.265,0.092,6
"I",0.28,0.117,4
"I",0.295,0.1625,5
"I",0.3,0.131,4
"I",0.3,0.1385,6
"I",0.305,0.141,5
"I",0.315,0.1485,6
"I",0.315,0.144,8
"I",0.32,0.1575,5
"I",0.325,0.187,6
"I",0.33,0.196,6
"I",0.335,0.1825,7
"I",0.335,0.186,7
"I",0.34,0.1785,5
"I",0.34,0.2225,7
"I",0.345,0.2455,7
"I",0.37,0.249,6
"I",0.37,0.2865,7
"I",0.375,0.215,6
"I",0.385,0.251,6
"I",0.41,0.339,7
"I",0.41,0.3535,7
"I",0.41,0.3335,6
"I",0.415,0.3595,6
"I",0.42,0.376,5
"I",0.42,0.3435,6
"I",0.425,0.382,6
"I",0.425,0.377,6
"I",0.43,0.3645,7
"I",0.43,0.425,7
"I",0.435,0.3995,8
"I",0.435,0.3925,6
"I",0.44,0.4495,6
"I",0.44,0.35,7
"F",0.445,0.4355,6
"I",0.445,0.4195,7
"I",0.45,0.478,7
"I",0.45,0.4445,8
"I",0.45,0.47,7
"I",0.45,0.447,7
"I",0.455,0.5325,7
"I",0.455,0.497,6
"I",0.46,0.4635,7
"I",0.46,0.449,7
"I",0.465,0.467,7
"I",0.465,0.534,7
"I",0.465,0.4415,7
"F",0.465,0.482,6
"M",0.47,0.612,8
"F",0.47,0.582,8
"M",0.475,0.537,9
"F",0.475,0.5915,6
"M",0.48,0.6765,6
"M",0.48,0.64,6
"M",0.48,0.439,8
"M",0.48,0.6015,7
"F",0.485,0.4785,7
"M",0.49,0.649,8
"M",0.495,0.6335,8
"M",0.495,0.61,7
"M",0.5,0.6595,6
"I",0.5,0.56,8
"M",0.5,0.6425,7
"M",0.5,0.6725,7
"F",0.505,0.674,9
"I",0.505,0.685,8
"M",0.505,0.642,9
"I",0.505,0.601,8
"M",0.51,0.769,8
"I",0.51,0.5785,7
"I",0.51,0.769,7
"M",0.51,0.7035,8
"M",0.51,0.796,8
"F",0.515,0.834,8
"M",0.515,0.7125,7
"F",0.525,0.724,8
"M",0.525,0.7325,11
"F",0.53,0.7585,8
"F",0.53,0.8495,8
"M",0.53,0.6515,7
"F",0.535,0.8215,8
"M",0.535,0.7165,8
"M",0.535,0.874,8
"F",0.55,0.9905,9
"F",0.55,0.8105,9
"F",0.56,0.967,9
"F",0.565,0.6975,8
"M",0.57,1.195,10
"M",0.57,1.1935,10
"F",0.57,1.107,8
"M",0.57,1.0635,8
"M",0.57,0.9035,7
"M",0.575,1.114,9
"F",0.575,1.103,9
"F",0.58,1.1155,7
"F",0.58,1.0515,8
"M",0.58,1.012,10
"F",0.58,1.137,8
"M",0.58,1.1335,9
"M",0.59,1.136,11
"M",0.59,1.206,8
"F",0.59,1.063,8
"F",0.595,1.121,11
"F",0.595,1.114,11
"M",0.595,1.213,9
"F",0.595,1.0045,9
"M",0.595,1.044,9
"F",0.605,1.1345,9
"M",0.605,1.161,9
"M",0.605,1.2315,11
"M",0.61,1.1625,11
"M",0.61,1.168,10
"F",0.615,1.2525,8
"F",0.62,1.3315,11
"F",0.625,1.3525,10
"M",0.625,1.3325,10
"F",0.625,1.1435,10
"F",0.625,1.288,9
"F",0.625,1.38,9
"M",0.63,1.278,8
"F",0.63,1.3075,11
"M",0.63,1.1785,8
"M",0.635,1.375,11
"M",0.635,1.4065,10
"M",0.64,1.4025,10
"F",0.64,1.5175,11
"F",0.64,1.394,10
"F",0.645,1.2205,10
"M",0.645,1.636,11
"M",0.645,1.561,8
"F",0.645,1.4325,8
"M",0.645,1.3385,11
"F",0.645,1.2465,10
"F",0.645,1.212,10
"M",0.65,1.304,9
"M",0.65,1.6785,11
"M",0.65,1.622,10
"F",0.655,1.494,9
